word,english,first_person_present_singular,second_person_present_singular,third_person_present_singular,first_person_present_plural,second_person_present_plural,third_person_present_plural,first_person_future_singular_i,second_person_future_singular_i,third_person_future_singular_i,first_person_future_plural_i,second_person_future_plural_i,third_person_future_plural_i,first_person_future_singular_ii,second_person_future_singular_ii,third_person_future_singular_ii,first_person_future_plural_ii,second_person_future_plural_ii,third_person_future_plural_ii,first_person_past_perfect_singular,second_person_past_perfect_singular,third_person_past_perfect_singular,first_person_past_perfect_plural,second_person_past_perfect_plural,third_person_past_perfect_plural,first_person_past_pluperfect_singular,second_person_past_pluperfect_singular,third_person_past_pluperfect_singular,first_person_past_pluperfect_plural,second_person_past_pluperfect_plural,third_person_past_pluperfect_plural,first_person_past_imperfect_singular,second_person_past_imperfect_singular,third_person_past_imperfect_singular,first_person_past_imperfect_plural,second_person_past_imperfect_plural,third_person_past_imperfect_plural,first_person_past_aorist_singular,second_person_past_aorist_singular,third_person_past_aorist_singular,first_person_past_aorist_plural,second_person_past_aorist_plural,third_person_past_aorist_plural,first_person_conditional_i_singular,second_person_conditional_i_singular,third_person_conditional_i_singular,first_person_conditional_i_plural,second_person_conditional_i_plural,third_person_conditional_i_plural,first_person_conditional_ii_singular,second_person_conditional_ii_singular,third_person_conditional_ii_singular,first_person_conditional_ii_plural,second_person_conditional_ii_plural,third_person_conditional_ii_plural,first_person_imperative_singular,first_person_imperative_plural,second_person_imperative_plural
razvoziti,to drive,razvozim,razvoziš,razvozi,razvozimo,razvozite,razvoze,razvozit ću,razvozit ćeš,razvozit će,razvozit ćemo,razvozit ćete,razvozit će,budem razvozio,budeš razvozio,bude razvozio,budemo razvozili,budete razvozili,budu razvozili,razvozio sam,razvozio si,razvozio je,razvozili smo,razvozili ste,razvozili su,bio sam razvozio,bio si razvozio,bio je razvozio,bili smo razvozili,bili ste razvozili,bili su razvozili,razvožah,razvožaše,razvožaše,razvožasmo,razvožaste,razvožahu,,,,,,,razvozio bih,razvozio bi,razvozio bi,razvozili bismo,razvozili biste,razvozili bi,bio bih razvozio,bio bi razvozio,bio bi razvozio,bili bismo razvozili,bili biste razvozili,bili bi razvozili,razvozi,razvozimo,razvozite
razvrstati,to classify,razvrstam,razvrstaš,razvrsta,razvrstamo,razvrstate,razvrstaju,razvrstat ću,razvrstat ćeš,razvrstat će,razvrstat ćemo,razvrstat ćete,razvrstat će,budem razvrstao,budeš razvrstao,bude razvrstao,budemo razvrstali,budete razvrstali,budu razvrstali,razvrstao sam,razvrstao si,razvrstao je,razvrstali smo,razvrstali ste,razvrstali su,bio sam razvrstao,bio si razvrstao,bio je razvrstao,bili smo razvrstali,bili ste razvrstali,bili su razvrstali,,,,,,,razvrstah,razvrsta,razvrsta,razvrstasmo,razvrstaste,razvrstaše,razvrstao bih,razvrstao bi,razvrstao bi,razvrstali bismo,razvrstali biste,razvrstali bi,bio bih razvrstao,bio bi razvrstao,bio bi razvrstao,bili bismo razvrstali,bili biste razvrstali,bili bi razvrstali,razvrstaj,razvrstajmo,razvrstajte
razvrstavati,to classify,razvrstavam,razvrstavaš,razvrstava,razvrstavamo,razvrstavate,razvrstavaju,razvrstavat ću,razvrstavat ćeš,razvrstavat će,razvrstavat ćemo,razvrstavat ćete,razvrstavat će,budem razvrstavao,budeš razvrstavao,bude razvrstavao,budemo razvrstavali,budete razvrstavali,budu razvrstavali,razvrstavao sam,razvrstavao si,razvrstavao je,razvrstavali smo,razvrstavali ste,razvrstavali su,bio sam razvrstavao,bio si razvrstavao,bio je razvrstavao,bili smo razvrstavali,bili ste razvrstavali,bili su razvrstavali,razvrstavah,razvrstavaše,razvrstavaše,razvrstavasmo,razvrstavaste,razvrstavahu,,,,,,,razvrstavao bih,razvrstavao bi,razvrstavao bi,razvrstavali bismo,razvrstavali biste,razvrstavali bi,bio bih razvrstavao,bio bi razvrstavao,bio bi razvrstavao,bili bismo razvrstavali,bili biste razvrstavali,bili bi razvrstavali,razvrstavaj,razvrstavajmo,razvrstavajte
računati,to calculate,računam,računaš,računa,računamo,računate,računaju,računat ću,računat ćeš,računat će,računat ćemo,računat ćete,računat će,budem računao,budeš računao,bude računao,budemo računali,budete računali,budu računali,računao sam,računao si,računao je,računali smo,računali ste,računali su,bio sam računao,bio si računao,bio je računao,bili smo računali,bili ste računali,bili su računali,računah,računaše,računaše,računasmo,računaste,računahu,,,,,,,računao bih,računao bi,računao bi,računali bismo,računali biste,računali bi,bio bih računao,bio bi računao,bio bi računao,bili bismo računali,bili biste računali,bili bi računali,računaj,računajmo,računajte
rađati,to bear,rađam,rađaš,rađa,rađamo,rađate,rađaju,rađat ću,rađat ćeš,rađat će,rađat ćemo,rađat ćete,rađat će,budem rađao,budeš rađao,bude rađao,budemo rađali,budete rađali,budu rađali,rađao sam,rađao si,rađao je,rađali smo,rađali ste,rađali su,bio sam rađao,bio si rađao,bio je rađao,bili smo rađali,bili ste rađali,bili su rađali,rađah,rađaše,rađaše,rađasmo,rađaste,rađahu,,,,,,,rađao bih,rađao bi,rađao bi,rađali bismo,rađali biste,rađali bi,bio bih rađao,bio bi rađao,bio bi rađao,bili bismo rađali,bili biste rađali,bili bi rađali,rađaj,rađajmo,rađajte
raširiti,to widen,raširim,raširiš,raširi,raširimo,raširite,rašire,raširit ću,raširit ćeš,raširit će,raširit ćemo,raširit ćete,raširit će,budem raširio,budeš raširio,bude raširio,budemo raširili,budete raširili,budu raširili,raširio sam,raširio si,raširio je,raširili smo,raširili ste,raširili su,bio sam raširio,bio si raširio,bio je raširio,bili smo raširili,bili ste raširili,bili su raširili,,,,,,,raširih,raširi,raširi,raširismo,raširiste,raširiše,raširio bih,raširio bi,raširio bi,raširili bismo,raširili biste,raširili bi,bio bih raširio,bio bi raširio,bio bi raširio,bili bismo raširili,bili biste raširili,bili bi raširili,raširi,raširimo,raširite
raširivati,to widen,raširujem,raširuješ,raširuje,raširujemo,raširujete,raširuju,raširivat ću,raširivat ćeš,raširivat će,raširivat ćemo,raširivat ćete,raširivat će,budem raširivao,budeš raširivao,bude raširivao,budemo raširivali,budete raširivali,budu raširivali,raširivao sam,raširivao si,raširivao je,raširivali smo,raširivali ste,raširivali su,bio sam raširivao,bio si raširivao,bio je raširivao,bili smo raširivali,bili ste raširivali,bili su raširivali,raširivah,raširivaše,raširivaše,raširivasmo,raširivaste,raširivahu,,,,,,,raširivao bih,raširivao bi,raširivao bi,raširivali bismo,raširivali biste,raširivali bi,bio bih raširivao,bio bi raširivao,bio bi raširivao,bili bismo raširivali,bili biste raširivali,bili bi raširivali,raširuj,raširujmo,raširujte
raščlaniti,to break down,raščlanim,raščlaniš,raščlani,raščlanimo,raščlanite,raščlane,raščlanit ću,raščlanit ćeš,raščlanit će,raščlanit ćemo,raščlanit ćete,raščlanit će,budem raščlanio,budeš raščlanio,bude raščlanio,budemo raščlanili,budete raščlanili,budu raščlanili,raščlanio sam,raščlanio si,raščlanio je,raščlanili smo,raščlanili ste,raščlanili su,bio sam raščlanio,bio si raščlanio,bio je raščlanio,bili smo raščlanili,bili ste raščlanili,bili su raščlanili,,,,,,,raščlanih,raščlani,raščlani,raščlanismo,raščlaniste,raščlaniše,raščlanio bih,raščlanio bi,raščlanio bi,raščlanili bismo,raščlanili biste,raščlanili bi,bio bih raščlanio,bio bi raščlanio,bio bi raščlanio,bili bismo raščlanili,bili biste raščlanili,bili bi raščlanili,raščlani,raščlanimo,raščlanite
raščlanjivati,to break down,raščlanjujem,raščlanjuješ,raščlanjuje,raščlanjujemo,raščlanjujete,raščlanjuju,raščlanjivat ću,raščlanjivat ćeš,raščlanjivat će,raščlanjivat ćemo,raščlanjivat ćete,raščlanjivat će,budem raščlanjivao,budeš raščlanjivao,bude raščlanjivao,budemo raščlanjivali,budete raščlanjivali,budu raščlanjivali,raščlanjivao sam,raščlanjivao si,raščlanjivao je,raščlanjivali smo,raščlanjivali ste,raščlanjivali su,bio sam raščlanjivao,bio si raščlanjivao,bio je raščlanjivao,bili smo raščlanjivali,bili ste raščlanjivali,bili su raščlanjivali,raščlanjivah,raščlanjivaše,raščlanjivaše,raščlanjivasmo,raščlanjivaste,raščlanjivahu,,,,,,,raščlanjivao bih,raščlanjivao bi,raščlanjivao bi,raščlanjivali bismo,raščlanjivali biste,raščlanjivali bi,bio bih raščlanjivao,bio bi raščlanjivao,bio bi raščlanjivao,bili bismo raščlanjivali,bili biste raščlanjivali,bili bi raščlanjivali,raščlanjuj,raščlanjujmo,raščlanjujte
ražalostiti,to sadden,ražalostim,ražalostiš,ražalosti,ražalostimo,ražalostite,ražaloste,ražalostit ću,ražalostit ćeš,ražalostit će,ražalostit ćemo,ražalostit ćete,ražalostit će,budem ražalostio,budeš ražalostio,bude ražalostio,budemo ražalostili,budete ražalostili,budu ražalostili,ražalostio sam,ražalostio si,ražalostio je,ražalostili smo,ražalostili ste,ražalostili su,bio sam ražalostio,bio si ražalostio,bio je ražalostio,bili smo ražalostili,bili ste ražalostili,bili su ražalostili,,,,,,,ražalostih,ražalosti,ražalosti,ražalostismo,ražalostiste,ražalostiše,ražalostio bih,ražalostio bi,ražalostio bi,ražalostili bismo,ražalostili biste,ražalostili bi,bio bih ražalostio,bio bi ražalostio,bio bi ražalostio,bili bismo ražalostili,bili biste ražalostili,bili bi ražalostili,ražalosti,ražalostimo,ražalostite
ražestiti,to infuriate become furious,ražestim,ražestiš,ražesti,ražestimo,ražestite,ražeste,ražestit ću,ražestit ćeš,ražestit će,ražestit ćemo,ražestit ćete,ražestit će,budem ražestio,budeš ražestio,bude ražestio,budemo ražestili,budete ražestili,budu ražestili,ražestio sam,ražestio si,ražestio je,ražestili smo,ražestili ste,ražestili su,bio sam ražestio,bio si ražestio,bio je ražestio,bili smo ražestili,bili ste ražestili,bili su ražestili,,,,,,,ražestih,ražesti,ražesti,ražestismo,ražestiste,ražestiše,ražestio bih,ražestio bi,ražestio bi,ražestili bismo,ražestili biste,ražestili bi,bio bih ražestio,bio bi ražestio,bio bi ražestio,bili bismo ražestili,bili biste ražestili,bili bi ražestili,ražesti,ražestimo,ražestite
reagirati,to react,reagiram,reagiraš,reagira,reagiramo,reagirate,reagiraju,reagirat ću,reagirat ćeš,reagirat će,reagirat ćemo,reagirat ćete,reagirat će,budem reagirao,budeš reagirao,bude reagirao,budemo reagirali,budete reagirali,budu reagirali,reagirao sam,reagirao si,reagirao je,reagirali smo,reagirali ste,reagirali su,bio sam reagirao,bio si reagirao,bio je reagirao,bili smo reagirali,bili ste reagirali,bili su reagirali,reagirah,reagiraše,reagiraše,reagirasmo,reagiraste,reagirahu,reagirah,reagira,reagira,reagirasmo,reagiraste,reagiraše,reagirao bih,reagirao bi,reagirao bi,reagirali bismo,reagirali biste,reagirali bi,bio bih reagirao,bio bi reagirao,bio bi reagirao,bili bismo reagirali,bili biste reagirali,bili bi reagirali,reagiraj,reagirajmo,reagirajte
realizirati,to realize,realiziram,realiziraš,realizira,realiziramo,realizirate,realiziraju,realizirat ću,realizirat ćeš,realizirat će,realizirat ćemo,realizirat ćete,realizirat će,budem realizirao,budeš realizirao,bude realizirao,budemo realizirali,budete realizirali,budu realizirali,realizirao sam,realizirao si,realizirao je,realizirali smo,realizirali ste,realizirali su,bio sam realizirao,bio si realizirao,bio je realizirao,bili smo realizirali,bili ste realizirali,bili su realizirali,realizirah,realiziraše,realiziraše,realizirasmo,realiziraste,realizirahu,realizirah,realizira,realizira,realizirasmo,realiziraste,realiziraše,realizirao bih,realizirao bi,realizirao bi,realizirali bismo,realizirali biste,realizirali bi,bio bih realizirao,bio bi realizirao,bio bi realizirao,bili bismo realizirali,bili biste realizirali,bili bi realizirali,realiziraj,realizirajmo,realizirajte
reciklirati,to recycle,recikliram,recikliraš,reciklira,recikliramo,reciklirate,recikliraju,reciklirat ću,reciklirat ćeš,reciklirat će,reciklirat ćemo,reciklirat ćete,reciklirat će,budem reciklirao,budeš reciklirao,bude reciklirao,budemo reciklirali,budete reciklirali,budu reciklirali,reciklirao sam,reciklirao si,reciklirao je,reciklirali smo,reciklirali ste,reciklirali su,bio sam reciklirao,bio si reciklirao,bio je reciklirao,bili smo reciklirali,bili ste reciklirali,bili su reciklirali,reciklirah,recikliraše,recikliraše,reciklirasmo,recikliraste,reciklirahu,reciklirah,,,,,,reciklirao bih,reciklirao bi,reciklirao bi,reciklirali bismo,reciklirali biste,reciklirali bi,bio bih reciklirao,bio bi reciklirao,bio bi reciklirao,bili bismo reciklirali,bili biste reciklirali,bili bi reciklirali,recikliraj,reciklirajmo,reciklirajte
regrutirati,to recruit,regrutiram,regrutiraš,regrutira,regrutiramo,regrutirate,regrutiraju,regrutirat ću,regrutirat ćeš,regrutirat će,regrutirat ćemo,regrutirat ćete,regrutirat će,budem regrutirao,budeš regrutirao,bude regrutirao,budemo regrutirali,budete regrutirali,budu regrutirali,regrutirao sam,regrutirao si,regrutirao je,regrutirali smo,regrutirali ste,regrutirali su,bio sam regrutirao,bio si regrutirao,bio je regrutirao,bili smo regrutirali,bili ste regrutirali,bili su regrutirali,regrutirah,regrutiraše,regrutiraše,regrutirasmo,regrutiraste,regrutirahu,regrutirah,regrutira,regrutira,regrutirasmo,regrutiraste,regrutiraše,regrutirao bih,regrutirao bi,regrutirao bi,regrutirali bismo,regrutirali biste,regrutirali bi,bio bih regrutirao,bio bi regrutirao,bio bi regrutirao,bili bismo regrutirali,bili biste regrutirali,bili bi regrutirali,regrutiraj,regrutirajmo,regrutirajte
regulirati,to regulate,reguliram,reguliraš,regulira,reguliramo,regulirate,reguliraju,regulirat ću,regulirat ćeš,regulirat će,regulirat ćemo,regulirat ćete,regulirat će,budem regulirao,budeš regulirao,bude regulirao,budemo regulirali,budete regulirali,budu regulirali,regulirao sam,regulirao si,regulirao je,regulirali smo,regulirali ste,regulirali su,bio sam regulirao,bio si regulirao,bio je regulirao,bili smo regulirali,bili ste regulirali,bili su regulirali,regulirah,reguliraše,reguliraše,regulirasmo,reguliraste,regulirahu,regulirah,regulira,regulira,regulirasmo,reguliraste,reguliraše,regulirao bih,regulirao bi,regulirao bi,regulirali bismo,regulirali biste,regulirali bi,bio bih regulirao,bio bi regulirao,bio bi regulirao,bili bismo regulirali,bili biste regulirali,bili bi regulirali,reguliraj,regulirajmo,regulirajte
rehabilitirati,to rehabilitate,rehabilitiram,rehabilitiraš,rehabilitira,rehabilitiramo,rehabilitirate,rehabilitiraju,rehabilitirat ću,rehabilitirat ćeš,rehabilitirat će,rehabilitirat ćemo,rehabilitirat ćete,rehabilitirat će,budem rehabilitirao,budeš rehabilitirao,bude rehabilitirao,budemo rehabilitirali,budete rehabilitirali,budu rehabilitirali,rehabilitirao sam,rehabilitirao si,rehabilitirao je,rehabilitirali smo,rehabilitirali ste,rehabilitirali su,bio sam rehabilitirao,bio si rehabilitirao,bio je rehabilitirao,bili smo rehabilitirali,bili ste rehabilitirali,bili su rehabilitirali,rehabilitirah,rehabilitiraše,rehabilitiraše,rehabilitirasmo,rehabilitiraste,rehabilitirahu,rehabilitirah,rehabilitira,rehabilitira,rehabilitirasmo,rehabilitiraste,rehabilitiraše,rehabilitirao bih,rehabilitirao bi,rehabilitirao bi,rehabilitirali bismo,rehabilitirali biste,rehabilitirali bi,bio bih rehabilitirao,bio bi rehabilitirao,bio bi rehabilitirao,bili bismo rehabilitirali,bili biste rehabilitirali,bili bi rehabilitirali,rehabilitiraj,rehabilitirajmo,rehabilitirajte
reinkarnirati,to reincarnate,reinkarniram,reinkarniraš,reinkarnira,reinkarniramo,reinkarnirate,reinkarniraju,reinkarnirat ću,reinkarnirat ćeš,reinkarnirat će,reinkarnirat ćemo,reinkarnirat ćete,reinkarnirat će,budem reinkarnirao,budeš reinkarnirao,bude reinkarnirao,budemo reinkarnirali,budete reinkarnirali,budu reinkarnirali,reinkarnirao sam,reinkarnirao si,reinkarnirao je,reinkarnirali smo,reinkarnirali ste,reinkarnirali su,bio sam reinkarnirao,bio si reinkarnirao,bio je reinkarnirao,bili smo reinkarnirali,bili ste reinkarnirali,bili su reinkarnirali,reinkarnirah,reinkarniraše,reinkarniraše,reinkarnirasmo,reinkarniraste,reinkarnirahu,reinkarnirah,reinkarnira,reinkarnira,reinkarnirasmo,reinkarniraste,reinkarniraše,reinkarnirao bih,reinkarnirao bi,reinkarnirao bi,reinkarnirali bismo,reinkarnirali biste,reinkarnirali bi,bio bih reinkarnirao,bio bi reinkarnirao,bio bi reinkarnirao,bili bismo reinkarnirali,bili biste reinkarnirali,bili bi reinkarnirali,reinkarniraj,reinkarnirajmo,reinkarnirajte
rekonstruirati,to reconstruct,rekonstruiram,rekonstruiraš,rekonstruira,rekonstruiramo,rekonstruirate,rekonstruiraju,rekonstruirat ću,rekonstruirat ćeš,rekonstruirat će,rekonstruirat ćemo,rekonstruirat ćete,rekonstruirat će,budem rekonstruirao,budeš rekonstruirao,bude rekonstruirao,budemo rekonstruirali,budete rekonstruirali,budu rekonstruirali,rekonstruirao sam,rekonstruirao si,rekonstruirao je,rekonstruirali smo,rekonstruirali ste,rekonstruirali su,bio sam rekonstruirao,bio si rekonstruirao,bio je rekonstruirao,bili smo rekonstruirali,bili ste rekonstruirali,bili su rekonstruirali,rekonstruirah,rekonstruiraše,rekonstruiraše,rekonstruirasmo,rekonstruiraste,rekonstruirahu,rekonstruirah,rekonstruira,rekonstruira,rekonstruirasmo,rekonstruiraste,rekonstruiraše,rekonstruirao bih,rekonstruirao bi,rekonstruirao bi,rekonstruirali bismo,rekonstruirali biste,rekonstruirali bi,bio bih rekonstruirao,bio bi rekonstruirao,bio bi rekonstruirao,bili bismo rekonstruirali,bili biste rekonstruirali,bili bi rekonstruirali,rekonstruiraj,rekonstruirajmo,rekonstruirajte
remetiti,to disturb,remetim,remetiš,remeti,remetimo,remetite,remete,remetit ću,remetit ćeš,remetit će,remetit ćemo,remetit ćete,remetit će,budem remetio,budeš remetio,bude remetio,budemo remetili,budete remetili,budu remetili,remetio sam,remetio si,remetio je,remetili smo,remetili ste,remetili su,bio sam remetio,bio si remetio,bio je remetio,bili smo remetili,bili ste remetili,bili su remetili,remećah,remećaše,remećaše,remećasmo,remećaste,remećahu,,,,,,,remetio bih,remetio bi,remetio bi,remetili bismo,remetili biste,remetili bi,bio bih remetio,bio bi remetio,bio bi remetio,bili bismo remetili,bili biste remetili,bili bi remetili,remeti,remetimo,remetite
reminiscirati,to reminisce,reminisciram,reminisciraš,reminiscira,reminisciramo,reminiscirate,reminisciraju,reminiscirat ću,reminiscirat ćeš,reminiscirat će,reminiscirat ćemo,reminiscirat ćete,reminiscirat će,budem reminiscirao,budeš reminiscirao,bude reminiscirao,budemo reminiscirali,budete reminiscirali,budu reminiscirali,reminiscirao sam,reminiscirao si,reminiscirao je,reminiscirali smo,reminiscirali ste,reminiscirali su,bio sam reminiscirao,bio si reminiscirao,bio je reminiscirao,bili smo reminiscirali,bili ste reminiscirali,bili su reminiscirali,reminiscirah,reminisciraše,reminisciraše,reminiscirasmo,reminisciraste,reminiscirahu,reminiscirah,reminiscira,reminiscira,reminiscirasmo,reminisciraste,reminisciraše,reminiscirao bih,reminiscirao bi,reminiscirao bi,reminiscirali bismo,reminiscirali biste,reminiscirali bi,bio bih reminiscirao,bio bi reminiscirao,bio bi reminiscirao,bili bismo reminiscirali,bili biste reminiscirali,bili bi reminiscirali,reminisciraj,reminiscirajmo,reminiscirajte
renovirati,to renovate,renoviram,renoviraš,renovira,renoviramo,renovirate,renoviraju,renovirat ću,renovirat ćeš,renovirat će,renovirat ćemo,renovirat ćete,renovirat će,budem renovirao,budeš renovirao,bude renovirao,budemo renovirali,budete renovirali,budu renovirali,renovirao sam,renovirao si,renovirao je,renovirali smo,renovirali ste,renovirali su,bio sam renovirao,bio si renovirao,bio je renovirao,bili smo renovirali,bili ste renovirali,bili su renovirali,renovirah,renoviraše,renoviraše,renovirasmo,renoviraste,renovirahu,renovirah,renovira,renovira,renovirasmo,renoviraste,renoviraše,renovirao bih,renovirao bi,renovirao bi,renovirali bismo,renovirali biste,renovirali bi,bio bih renovirao,bio bi renovirao,bio bi renovirao,bili bismo renovirali,bili biste renovirali,bili bi renovirali,renoviraj,renovirajmo,renovirajte
reproducirati,to reproduce,reproduciram,reproduciraš,reproducira,reproduciramo,reproducirate,reproduciraju,reproducirat ću,reproducirat ćeš,reproducirat će,reproducirat ćemo,reproducirat ćete,reproducirat će,budem reproducirao,budeš reproducirao,bude reproducirao,budemo reproducirali,budete reproducirali,budu reproducirali,reproducirao sam,reproducirao si,reproducirao je,reproducirali smo,reproducirali ste,reproducirali su,bio sam reproducirao,bio si reproducirao,bio je reproducirao,bili smo reproducirali,bili ste reproducirali,bili su reproducirali,reproducirah,reproduciraše,reproduciraše,reproducirasmo,reproduciraste,reproducirahu,reproducirah,reproducira,reproducira,reproducirasmo,reproduciraste,reproduciraše,reproducirao bih,reproducirao bi,reproducirao bi,reproducirali bismo,reproducirali biste,reproducirali bi,bio bih reproducirao,bio bi reproducirao,bio bi reproducirao,bili bismo reproducirali,bili biste reproducirali,bili bi reproducirali,reproduciraj,reproducirajmo,reproducirajte
resiti,to decorate,resim,resiš,resi,resimo,resite,rese,resit ću,resit ćeš,resit će,resit ćemo,resit ćete,resit će,budem resio,budeš resio,bude resio,budemo resili,budete resili,budu resili,resio sam,resio si,resio je,resili smo,resili ste,resili su,bio sam resio,bio si resio,bio je resio,bili smo resili,bili ste resili,bili su resili,rešah,rešaše,rešaše,rešasmo,rešaste,rešahu,,,,,,,resio bih,resio bi,resio bi,resili bismo,resili biste,resili bi,bio bih resio,bio bi resio,bio bi resio,bili bismo resili,bili biste resili,bili bi resili,resi,resimo,resite
rezati,to cut,režem,režeš,reže,režemo,režete,režu,rezat ću,rezat ćeš,rezat će,rezat ćemo,rezat ćete,rezat će,budem rezao,budeš rezao,bude rezao,budemo rezali,budete rezali,budu rezali,rezao sam,rezao si,rezao je,rezali smo,rezali ste,rezali su,bio sam rezao,bio si rezao,bio je rezao,bili smo rezali,bili ste rezali,bili su rezali,rezah,rezaše,rezaše,rezasmo,rezaste,rezahu,,,,,,,rezao bih,rezao bi,rezao bi,rezali bismo,rezali biste,rezali bi,bio bih rezao,bio bi rezao,bio bi rezao,bili bismo rezali,bili biste rezali,bili bi rezali,reži,režimo,režite
rezbariti,to carve,rezbarim,rezbariš,rezbari,rezbarimo,rezbarite,rezbare,rezbarit ću,rezbarit ćeš,rezbarit će,rezbarit ćemo,rezbarit ćete,rezbarit će,budem rezbario,budeš rezbario,bude rezbario,budemo rezbarili,budete rezbarili,budu rezbarili,rezbario sam,rezbario si,rezbario je,rezbarili smo,rezbarili ste,rezbarili su,bio sam rezbario,bio si rezbario,bio je rezbario,bili smo rezbarili,bili ste rezbarili,bili su rezbarili,rezbarah,rezbaraše,rezbaraše,rezbarasmo,rezbaraste,rezbarahu,,,,,,,rezbario bih,rezbario bi,rezbario bi,rezbarili bismo,rezbarili biste,rezbarili bi,bio bih rezbario,bio bi rezbario,bio bi rezbario,bili bismo rezbarili,bili biste rezbarili,bili bi rezbarili,rezbari,rezbarimo,rezbarite
rezervisati,to reserve,rezervišem,rezervišeš,rezerviše,rezervišemo,rezervišete,rezervišu, ću, ćeš, će, ćemo, ćete, će,budem rezervisao,budeš rezervisao,bude rezervisao,budemo rezervisali,budete rezervisali,budu rezervisali,rezervisao sam,rezervisao si,rezervisao je,rezervisali smo,rezervisali ste,rezervisali su,bio sam rezervisao,bio si rezervisao,bio je rezervisao,bili smo rezervisali,bili ste rezervisali,bili su rezervisali,,,,,,,,,,,,,rezervisao bih,rezervisao bi,rezervisao bi,rezervisali bismo,rezervisali biste,rezervisali bi,bio bih rezervisao,bio bi rezervisao,bio bi rezervisao,bili bismo rezervisali,bili biste rezervisali,bili bi rezervisali,rezerviši,rezervišimo,rezervišite
rezultirati,to result in,rezultiram,rezultiraš,rezultira,rezultiramo,rezultirate,rezultiraju,rezultirat ću,rezultirat ćeš,rezultirat će,rezultirat ćemo,rezultirat ćete,rezultirat će,budem rezultirao,budeš rezultirao,bude rezultirao,budemo rezultirali,budete rezultirali,budu rezultirali,rezultirao sam,rezultirao si,rezultirao je,rezultirali smo,rezultirali ste,rezultirali su,bio sam rezultirao,bio si rezultirao,bio je rezultirao,bili smo rezultirali,bili ste rezultirali,bili su rezultirali,rezultirah,rezultiraše,rezultiraše,rezultirasmo,rezultiraste,rezultirahu,rezultirah,rezultira,rezultira,rezultirasmo,rezultiraste,rezultiraše,rezultirao bih,rezultirao bi,rezultirao bi,rezultirali bismo,rezultirali biste,rezultirali bi,bio bih rezultirao,bio bi rezultirao,bio bi rezultirao,bili bismo rezultirali,bili biste rezultirali,bili bi rezultirali,rezultiraj,rezultirajmo,rezultirajte
reći,to say,reknem,rekneš,rekne,reknemo,reknete,reknu,reći ću,reći ćeš,reći će,reći ćemo,reći ćete,reći će,budem rekao,budeš rekao,bude rekao,budemo rekli,budete rekli,budu rekli,rekao sam,rekao si,rekao je,rekli smo,rekli ste,rekli su,bio sam rekao,bio si rekao,bio je rekao,bili smo rekli,bili ste rekli,bili su rekli,,,,,,,rekoh,reče,reče,rekosmo,rekoste,rekoše,rekao bih,rekao bi,rekao bi,rekli bismo,rekli biste,rekli bi,bio bih rekao,bio bi rekao,bio bi rekao,bili bismo rekli,bili biste rekli,bili bi rekli,rekni,reknimo,reknite
rešavati,to solve,rešavam,rešavaš,rešava,rešavamo,rešavate,rešavaju,rešavat ću,rešavat ćeš,rešavat će,rešavat ćemo,rešavat ćete,rešavat će,budem rešavao,budeš rešavao,bude rešavao,budemo rešavali,budete rešavali,budu rešavali,rešavao sam,rešavao si,rešavao je,rešavali smo,rešavali ste,rešavali su,bio sam rešavao,bio si rešavao,bio je rešavao,bili smo rešavali,bili ste rešavali,bili su rešavali,rešavah,rešavaše,rešavaše,rešavasmo,rešavaste,rešavahu,,,,,,,rešavao bih,rešavao bi,rešavao bi,rešavali bismo,rešavali biste,rešavali bi,bio bih rešavao,bio bi rešavao,bio bi rešavao,bili bismo rešavali,bili biste rešavali,bili bi rešavali,rešavaj,rešavajmo,rešavajte
rešetati,to sift,rešetam,rešetaš,rešeta,rešetamo,rešetate,rešetaju,rešetat ću,rešetat ćeš,rešetat će,rešetat ćemo,rešetat ćete,rešetat će,budem rešetao,budeš rešetao,bude rešetao,budemo rešetali,budete rešetali,budu rešetali,rešetao sam,rešetao si,rešetao je,rešetali smo,rešetali ste,rešetali su,bio sam rešetao,bio si rešetao,bio je rešetao,bili smo rešetali,bili ste rešetali,bili su rešetali,rešetah,rešetaše,rešetaše,rešetasmo,rešetaste,rešetahu,,,,,,,rešetao bih,rešetao bi,rešetao bi,rešetali bismo,rešetali biste,rešetali bi,bio bih rešetao,bio bi rešetao,bio bi rešetao,bili bismo rešetali,bili biste rešetali,bili bi rešetali,rešetaj,rešetajmo,rešetajte
rešiti,to solve,rešim,rešiš,reši,rešimo,rešite,reše,rešit ću,rešit ćeš,rešit će,rešit ćemo,rešit ćete,rešit će,budem rešio,budeš rešio,bude rešio,budemo rešili,budete rešili,budu rešili,rešio sam,rešio si,rešio je,rešili smo,rešili ste,rešili su,bio sam rešio,bio si rešio,bio je rešio,bili smo rešili,bili ste rešili,bili su rešili,,,,,,,reših,reši,reši,rešismo,rešiste,rešiše,rešio bih,rešio bi,rešio bi,rešili bismo,rešili biste,rešili bi,bio bih rešio,bio bi rešio,bio bi rešio,bili bismo rešili,bili biste rešili,bili bi rešili,reši,rešimo,rešite
